,Min,nb_ecole_1kms,nb_ecole_3kms,nb_ecole_5kms,nb_ecole_10kms,nb_ecole_20kms
14649,0.7414434751228535,2,46,134,635,949
14650,1.9855848449785405,0,2,4,23,142
14651,0.9315495151556552,1,7,18,54,373
14652,0.3268601993062435,34,164,573,2164,5237
14653,0.301336320502244,18,54,83,119,201
14654,0.2146389149791672,15,198,486,732,992
14655,0.3698210634392777,14,26,30,42,82
14656,0.0621686485984876,51,380,1055,2874,5689
14657,0.0545492264045393,23,83,96,137,244
14658,0.3174126110959193,5,15,20,51,166
14659,0.5407884580268953,2,5,5,12,38
14660,0.1456218753766512,11,20,21,38,103
14661,0.9413505572569127,1,8,23,47,145
14662,0.4642470179022079,11,70,305,745,1130
14663,0.4395261569768811,11,36,51,68,110
14664,0.6815320910013469,1,2,2,21,91
14665,0.0420116721111221,59,380,966,2860,5621
14666,0.1514841413982266,48,352,925,2857,5592
14667,0.1031177670243086,17,32,35,50,95
14668,0.2445333368394995,1,1,1,9,159
14669,0.8193152713768976,1,1,1,5,30
14670,0.0307602945507654,30,159,291,485,757
14671,0.5608320753084979,5,7,9,19,53
14672,1.3654758134937863,0,3,8,40,288
14673,1.7628842009568753,0,2,4,79,153
14674,0.3197791069345094,18,49,63,73,100
14675,0.6026360391707878,1,6,6,23,99
14676,0.0551677670545091,50,437,1129,2880,5736
14677,0.1543903361540211,32,149,284,508,705
14678,0.0485385659038517,70,371,792,2607,5696
14679,0.1973030954380563,37,167,286,486,758
14680,0.4325203646416393,16,66,175,875,3388
14681,1.2583771064035911,0,5,11,18,111
14682,0.2433311966315456,39,302,899,2646,5493
14683,0.249974311622341,1,3,8,87,369
14684,0.2864860328589086,12,139,329,1503,4747
14685,1.349672912732267,0,2,16,74,167
14686,0.1546073144021706,28,333,891,2692,5769
14687,0.2421265031791213,17,129,151,183,273
14688,0.2377228952831373,5,89,190,301,490
14689,0.0926270783742451,17,45,53,64,81
14690,0.6773178451723608,1,5,12,41,196
14691,0.3935525896905847,4,39,59,72,142
14692,0.2818924955892076,31,233,771,2532,5519
14693,0.7072469110655302,2,2,12,43,169
14694,0.3604364594055759,6,71,212,379,1543
14695,0.1110046446622573,37,158,289,487,759
14696,0.3642971904351066,14,153,352,1669,4937
14697,0.5063412595224241,1,1,6,65,118
14698,0.5931498908767261,4,37,105,652,954
14699,0.3018388892332324,6,8,15,80,209
14700,0.4380976896815195,18,149,438,1825,5337
14701,0.4778030127525156,6,14,34,172,343
14702,0.9645519778535332,2,5,5,10,61
14703,0.2014032132081883,11,69,73,102,198
14704,4.540131607033159,0,0,4,25,167
14705,0.1138502333901498,29,264,752,2598,5559
14706,0.2200820789753013,7,15,21,45,113
14707,0.1067703182828895,18,114,163,198,271
14708,2.813569777370016,0,1,4,26,130
14709,1.2701122079633664,0,7,13,29,173
14710,0.3527494004711968,9,28,35,47,79
14711,0.3959178322006619,16,159,447,1830,4861
14712,3.609400492414969,0,0,1,7,64
14713,0.0902767788642981,31,161,284,496,759
14714,0.1024480630342691,34,179,546,2017,5192
14715,0.1527305572081881,37,113,137,180,316
14716,0.7808718469763035,2,4,6,37,140
14717,0.2857139253288789,1,4,13,78,560
14718,0.0751771420902107,51,408,991,2848,5626
14719,0.3583330970257049,5,8,25,194,309
14720,0.1533679450690908,25,128,385,1069,4145
14721,0.2448137925815218,12,15,18,33,83
14722,0.7801757958340152,5,59,114,184,569
14723,0.1290799755697606,20,45,83,192,350
14724,0.3073506175091678,3,31,123,604,1133
14725,0.1301862118109127,56,370,1001,2753,5823
14726,0.3479914693966302,7,64,174,777,3471
14727,0.1663121326171227,1,10,13,121,921
14728,0.2694625032242422,24,148,243,361,531
14729,0.6158464938778148,12,17,22,27,55
14730,0.1543683090689896,28,111,135,180,314
14731,0.1284014351898971,16,78,168,782,3772
14732,0.1934611976179103,5,5,5,11,70
14733,1.0102975446942002,0,13,25,107,628
14734,0.0762457036045505,39,243,457,821,1130
14735,0.373102206468864,39,337,779,2747,5493
14736,0.2459883754337955,11,35,39,48,96
14737,0.2688472164454448,63,384,825,2663,5719
14738,1.4602684322451165,0,1,4,63,115
14739,0.2107324423805935,3,3,5,18,104
14740,0.3759373735710403,18,48,88,186,339
14741,0.3427364101073445,20,146,361,1573,4937
14742,0.1954086118079117,29,139,210,310,426
14743,0.5589492867187157,1,29,74,390,1877
14744,0.31062116775268,2,3,8,45,191
14745,0.2757015996095662,1,2,5,29,162
14746,0.3176993849061094,22,52,64,83,164
14747,0.0707310804322259,20,232,543,2155,5397
14748,0.4533368184806643,7,15,20,37,109
14749,0.2965990016085393,1,1,1,24,68
14750,0.62529012848362,1,28,31,47,234
14751,0.1075850492593444,35,238,810,2605,5545
14752,0.2285203343266116,3,4,11,46,370
14753,0.6807056568642771,1,5,15,33,70
14754,0.1787429638286359,24,88,119,185,446
14755,0.7742106140100425,3,9,30,350,2289
14756,0.5934275497931348,6,13,18,36,70
14757,1.1309514883365868,0,6,17,93,286
14758,0.4293783463601233,4,4,4,18,133
14759,0.1058840986986183,17,149,361,1605,4944
14760,1.078035308808828,0,2,7,20,66
14761,0.8306377403946468,1,21,24,41,86
14762,0.0899875058299909,23,90,115,179,427
14763,0.1612754967791449,12,51,85,187,339
14764,0.3785490640441408,8,17,22,30,56
14765,1.427377268955836,0,6,12,45,82
14766,0.6227488080181944,2,6,9,29,39
14767,0.1863356153194581,5,39,68,105,216
14768,0.235760023258818,4,7,21,93,156
14769,0.4421275570686033,2,6,10,49,190
14770,4.925513073998696,0,0,1,7,88
14771,0.1850986506699949,12,113,249,510,696
14772,0.4404512339185023,4,8,16,85,537
14773,0.4360091162093429,9,12,19,66,149
14774,2.064003573237076,0,5,5,37,80
14775,0.1489232550022447,12,64,100,129,194
14776,0.4745263170603947,11,35,50,113,700
14777,1.1673217354261585,0,1,1,14,90
14778,0.2077899344221001,11,40,133,238,332
14779,0.4789487113352221,14,48,71,135,199
14780,1.0289422686876608,0,2,9,53,230
14781,0.2583277283722336,1,1,5,14,179
14782,0.336075263546129,4,21,51,294,452
14783,0.400458430738122,30,156,236,361,533
14784,0.2929295420740137,2,55,106,141,311
14785,1.1648923623470433,0,85,212,848,3838
14786,0.0516979333872892,15,37,43,73,129
14787,0.9209472886339732,1,4,7,31,240
14788,0.189821490766045,13,81,285,1225,4786
14789,0.7326485475699644,2,12,39,154,450
14790,0.4287081766039266,16,107,132,179,316
14791,2.162320560743061,0,6,11,30,97
14792,0.228199797985199,20,105,135,177,317
14793,0.3417833204497429,14,82,272,1216,4767
14794,0.0923507748857489,9,14,16,34,138
14795,0.2854520433905158,9,133,420,1616,4721
14796,0.3554435464255728,10,60,151,985,3983
14797,0.2198024070506181,24,141,441,2011,5208
14798,0.1745403753536103,3,3,9,20,107
14799,0.3442986441883048,29,156,239,363,533
14800,0.2581190386247206,1,7,10,97,503
14801,0.14636239596223,28,172,476,2169,5257
14802,0.6297959062586932,4,4,7,20,72
14803,0.1239213691722931,34,156,275,483,756
14804,1.3145732088863205,0,13,78,492,874
14805,0.212524961185209,2,2,2,7,21
14806,0.0704591824520525,3,16,58,448,1148
14807,0.413167382069051,5,31,44,72,131
14808,1.021077980620306,0,1,4,16,102
14809,1.55372489327635,0,2,6,31,94
14810,1.2292118757297308,0,3,24,46,102
14811,0.2587691575929584,35,308,835,2635,5519
14812,0.3862610737534774,7,88,117,169,407
14813,0.3369130215357344,18,166,417,2038,5131
14814,0.1537320175888113,68,380,830,2670,5717
