,latitude,longitude,Geo Point
3000,48.8579655912,2.43555571569,"48.8579655912,2.43555571569"
3001,48.8390411437,2.38962001134,"48.8390411437,2.38962001134"
3002,48.850434549,2.29361243991,"48.850434549,2.29361243991"
3003,48.8471500557,2.26913587273,"48.8471500557,2.26913587273"
3004,48.8905871866,2.32017475579,"48.8905871866,2.32017475579"
3005,48.8785141131,2.38161451194,"48.8785141131,2.38161451194"
3006,48.8444563946,2.44043997806,"48.8444563946,2.44043997806"
3007,48.8724249145,2.35604490767,"48.8724249145,2.35604490767"
3008,48.8107464886,2.30167855546,"48.8107464886,2.30167855546"
3009,48.8349477223,2.36812632906,"48.8349477223,2.36812632906"
3010,48.8661671149,2.32317568086,"48.8661671149,2.32317568086"
3011,48.831129548,2.34351165775,"48.831129548,2.34351165775"
3012,48.8686998474,2.30950515734,"48.8686998474,2.30950515734"
3013,48.8651634349,2.39874659344,"48.8651634349,2.39874659344"
3014,48.8501778619,2.38409221007,"48.8501778619,2.38409221007"
3015,48.8427467798,2.29191241332,"48.8427467798,2.29191241332"
3016,48.8647940658,2.29416201811,"48.8647940658,2.29416201811"
3017,48.8831474514,2.37100144075,"48.8831474514,2.37100144075"
3018,48.8337088491,2.24384059238,"48.8337088491,2.24384059238"
3019,48.837117007,2.40233316592,"48.837117007,2.40233316592"
3020,48.8493505536,2.29830140173,"48.8493505536,2.29830140173"
3021,48.8358634842,2.35258892564,"48.8358634842,2.35258892564"
3022,48.8260549965,2.40674222593,"48.8260549965,2.40674222593"
3023,48.8706670209,2.32575263529,"48.8706670209,2.32575263529"
3024,48.869633173,2.32627227403,"48.869633173,2.32627227403"
3025,48.8626540191,2.38760728815,"48.8626540191,2.38760728815"
3026,48.8631232146,2.38588244933,"48.8631232146,2.38588244933"
3027,48.8332167197,2.36285639952,"48.8332167197,2.36285639952"
3028,48.8836149922,2.32783955611,"48.8836149922,2.32783955611"
3029,48.8769498481,2.39298396482,"48.8769498481,2.39298396482"
3030,48.8311126604,2.32970501262,"48.8311126604,2.32970501262"
3031,48.8449426325,2.3287780269,"48.8449426325,2.3287780269"
3032,48.8521672611,2.33964633593,"48.8521672611,2.33964633593"
3033,48.8535439161,2.41062642574,"48.8535439161,2.41062642574"
3034,48.8724223837,2.31003834462,"48.8724223837,2.31003834462"
3035,48.8842789443,2.36588135817,"48.8842789443,2.36588135817"
3036,48.8843851454,2.36939198436,"48.8843851454,2.36939198436"
3037,48.8192233496,2.35970521675,"48.8192233496,2.35970521675"
3038,48.8213557838,2.36929058735,"48.8213557838,2.36929058735"
3039,48.823411629,2.32557563621,"48.823411629,2.32557563621"
3040,48.8389642807,2.33075419209,"48.8389642807,2.33075419209"
3041,48.8663402993,2.35206831805,"48.8663402993,2.35206831805"
3042,48.8675034238,2.36382614398,"48.8675034238,2.36382614398"
3043,48.8714977394,2.34315477308,"48.8714977394,2.34315477308"
3044,48.9299358897,2.35603579417,"48.9299358897,2.35603579417"
3045,48.8415055224,2.30794867934,"48.8415055224,2.30794867934"
3046,48.7964830828,2.36826954143,"48.7964830828,2.36826954143"
