,Min,nb_gare_1kms,nb_gare_3kms,nb_gare_5kms,nb_gare_10kms,nb_gare_20kms
26730,0.6482499465145948,2,28,76,432,941
26731,10.969951078521603,0,0,0,0,3
26732,0.7200036034419685,1,1,2,6,15
26733,1.8369777488069448,0,1,2,5,9
26734,1.794300357893237,0,1,1,5,10
26735,0.9614805085340172,1,2,6,13,22
26736,1.1318535103708571,0,1,1,1,2
26737,0.3245991157152352,2,6,8,18,48
26738,4.723771845926083,0,0,1,3,9
26739,8.041731834334946,0,0,0,1,7
26740,12.460335840736274,0,0,0,0,3
26741,4.980402935867877,0,0,1,5,16
26742,0.9034524565595364,1,2,5,11,22
26743,1.7408975377026954,0,2,9,17,105
26744,17.140902183898003,0,0,0,0,4
26745,28.02134005787409,0,0,0,0,0
26746,1.1050343662734363,0,1,1,2,4
26747,1.0770071684803864,0,1,3,14,26
26748,1.889454534960064,0,1,3,4,13
26749,1.8065847101926615,0,1,4,13,21
26750,0.2555334267559632,12,89,254,666,1004
26751,17.637905723952173,0,0,0,0,1
26752,1.3309732207444256,0,1,1,1,2
26753,0.4654692144121355,3,45,174,601,994
26754,0.2630047855622036,4,78,230,654,1008
26755,2.383611838186517,0,1,2,2,5
26756,15.977409417212888,0,0,0,0,2
26757,26.77128635963222,0,0,0,0,0
26758,0.2989091733800049,2,3,3,4,10
26759,11.519935700876186,0,0,0,0,2
26760,0.4502112728033854,6,54,173,601,993
26761,8.102573996044924,0,0,0,1,5
26762,0.5327506876929011,7,26,94,487,971
26763,4.890246643588439,0,0,1,5,16
26764,0.044498181488869,3,15,51,317,908
26765,2.487042654907291,0,3,11,73,547
26766,7.9997624597674974,0,0,0,1,7
26767,1.3031116301652244,0,1,1,1,2
26768,1.443114466098371,0,1,4,13,21
26769,1.83477919054398,0,1,1,3,6
26770,3.155009805058741,0,0,7,25,55
26771,283.1401307572466,0,0,0,0,0
26772,0.5813549551532429,1,1,1,2,7
26773,4.024592736896609,0,0,1,1,8
26774,1.978727097850398,0,1,3,5,16
26775,1.386493504579709,0,1,4,13,26
26776,14.834827427336762,0,0,0,0,5
26777,0.7326317233051998,1,1,1,1,6
26778,0.8048927797481346,1,1,2,4,8
26779,1.8264634404062592,0,4,14,63,164
26780,0.5005860664906372,1,2,3,6,9
26781,1.1142987342875683,0,8,21,77,366
26782,0.398362768002717,9,151,358,620,1004
26783,13.75638598670153,0,0,0,0,5
26784,9.973994241009686,0,0,0,1,6
26785,7.256563479647776,0,0,0,1,3
26786,0.2359658125001245,15,153,300,676,1002
26787,6.12593151525813,0,0,0,3,9
26788,4.611154103657065,0,0,1,4,9
26789,1.003358544346231,0,1,2,7,18
26790,0.3600290795770655,5,59,196,607,996
26791,0.0897982998306427,1,1,1,1,6
26792,0.0298383565301792,2,53,116,497,968
26793,17.429194746479393,0,0,0,0,1
26794,2.026979013041351,0,3,6,16,28
26795,6.948806572364296,0,0,0,7,15
26796,5.453060481784344,0,0,0,3,8
26797,5.6886608455534535,0,0,0,6,14
26798,11.345356822247766,0,0,0,0,2
26799,0.2819748915004885,1,1,1,2,3
26800,11.21829247565828,0,0,0,0,2
26801,17.68403942443089,0,0,0,0,2
26802,0.0658760033120032,19,90,222,602,990
26803,6.599527394948166,0,0,0,2,4
26804,1.8232652661629387,0,2,2,3,13
26805,2.1182552371146715,0,1,2,6,16
26806,8.423613521529258,0,0,0,1,4
26807,0.2619787374916917,10,95,273,663,996
26808,5.64798507165359,0,0,0,3,9
26809,0.4876139979263624,1,1,2,3,6
26810,19.81761035077184,0,0,0,0,1
26811,1.4849743965738351,0,1,1,1,1
26812,15.530669571357404,0,0,0,0,1
26813,1.3425637728403392,0,6,24,108,689
26814,2.122071380501334,0,1,1,4,12
26815,2.6589386239160078,0,3,6,21,142
26816,0.2349562097997481,10,90,226,613,991
26817,0.6418097162388027,2,2,2,5,10
26818,0.9435635617114602,1,1,1,2,2
26819,0.8260851788648794,3,27,110,544,968
26820,8.556573509091574,0,0,0,18,56
26821,1.67248777345577,0,1,2,6,17
26822,11.903648279707696,0,0,0,0,3
26823,5.787774584874889,0,0,0,2,9
26824,0.4031615511523362,1,1,1,1,6
26825,0.7936432778560518,2,20,39,202,894
26826,1.1789487328269694,0,1,1,3,7
26827,13.199211498885631,0,0,0,0,5
26828,1.664447617853053,0,1,1,1,6
26829,174.8831455206887,0,0,0,0,0
26830,3.786740306596949,0,0,2,12,29
26831,254.35824135760168,0,0,0,0,0
26832,8.531827697933972,0,0,0,1,7
26833,0.1383349289154153,1,3,6,24,52
26834,5.049403646001009,0,0,0,5,16
26835,4.9608108504434405,0,0,2,6,20
26836,8.19876248665687,0,0,0,1,4
26837,7.220383285625938,0,0,0,2,16
26838,8.018370830532147,0,0,0,1,8
26839,0.3258757459913933,5,32,73,270,891
26840,28.108043016007223,0,0,0,0,0
26841,0.1853661298225516,1,2,6,11,20
26842,7.124467824024726,0,0,0,1,4
26843,0.6898451128867706,2,4,6,8,9
26844,20.002615787710464,0,0,0,0,0
26845,2.8964944663241226,0,1,2,4,9
26846,1.1291257634695833,0,2,2,4,11
26847,8.520658664088147,0,0,0,1,3
26848,2.3350638783013498,0,2,8,53,303
26849,4.913894289163935,0,0,2,4,18
26850,5.869634179830299,0,0,0,16,78
26851,3.748054602026399,0,0,1,2,4
26852,21.42026399561758,0,0,0,0,0
26853,23.34607994468789,0,0,0,0,0
26854,2.6072618600459188,0,1,1,4,13
26855,3.2981778833413804,0,0,2,11,19
26856,1.6920682855486675,0,1,3,6,13
26857,0.8612207552260425,4,25,112,488,977
26858,21.125117141645323,0,0,0,0,0
26859,31.160458823585973,0,0,0,0,0
26860,1.369532305100847,0,1,2,4,8
26861,0.2175783430783614,6,16,34,104,694
26862,1.2411902790651816,0,1,1,2,12
26863,8.998709030868595,0,0,0,3,23
26864,22.67438697171889,0,0,0,0,0
26865,21.05882865540061,0,0,0,0,0
26866,0.6649616917272333,1,1,2,5,11
26867,1.835257964786479,0,1,1,2,4
26868,20.20125007240745,0,0,0,0,0
26869,4.743145314980801,0,0,1,6,24
26870,2.158211072259961,0,1,5,13,24
26871,0.7259455672765204,1,9,18,93,758
26872,0.8244157970926634,3,27,105,543,969
26873,0.8626768461058145,1,2,3,6,17
26874,2.5795444777400944,0,1,6,9,20
26875,5.624295107259286,0,0,0,2,3
26876,3.2525211024242,0,0,2,5,14
26877,3.2026569845124992,0,0,2,5,10
26878,0.2410117677580542,10,96,274,664,996
26879,18.89386915422384,0,0,0,0,1
26880,1.0799679861666869,0,1,1,2,9
26881,3.354356550018194,0,0,3,14,24
26882,1.709241382235833,0,1,5,13,21
26883,1.3130788932070068,0,2,2,4,12
26884,0.3220074859508748,1,2,2,6,7
26885,0.4770746333239888,1,1,1,3,5
26886,1.1191251173129433,0,1,1,3,10
